Model,Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,Test Loss,Test Accuracy
ThreeLayerFFNN,3,0.6931312708524022,0.6931226728326183,50.73719278086711,50.13650077379356,,
ThreeLayerFFNN,4,0.6931235466125237,0.6933545066138446,50.677100454803806,49.98420141005921,,
ThreeLayerFFNN,5,0.6932151619970364,0.6930878531124632,50.17174388805445,50.47391122680599,,
ThreeLayerFFNN,6,0.6930404581727773,0.6933592800366677,50.77201280280621,49.873404987787794,,
ThreeLayerFFNN,7,0.6930804206942119,0.693365277375205,50.80830447212623,49.80935924134012,,
ThreeLayerFFNN,8,0.6929684916551966,0.6931043969372571,50.91412833137233,50.548225893812656,,
ThreeLayerFFNN,9,0.693127766795402,0.6932874241117704,50.74610561132431,49.927879188020356,,
ThreeLayerFFNN,10,0.692956501550048,0.6932494104918787,50.69649123797452,50.098240678593264,,
ThreeLayerFFNN,Test,,,,,0.6929954464173378,50.32571323235017
CNN,1,0.7066046227938938,0.6988805613275302,50.35020917871572,49.35296688039424,,
CNN,2,0.7072776153574895,0.7143234459020323,50.54639354892021,49.0439194365073,,
CNN,3,0.7016788272962083,0.6992170583393614,50.110822839893565,50.134911299762074,,
CNN,4,0.7053142805604169,0.6977593898773193,49.65877078310417,50.31336828813715,,
CNN,5,0.6993893206554608,0.6972346891791134,50.423745060489125,50.436052124379046,,
CNN,6,0.7011895003545023,0.6949808769306894,49.6722970348205,50.52495078515198,,
CNN,7,0.6996502484718379,0.6993117362765943,50.09370372243171,50.58570145550421,,
CNN,8,0.700742368715523,0.6953102380542432,49.89031148652961,50.8423812813678,,
CNN,9,0.7007202364667489,0.6970486686391345,49.73219813656633,50.95542679398747,,
CNN,10,0.6988701122085543,0.6951238856477252,49.63836957068339,50.19067854194318,,
CNN,Test,,,,,0.6944575160360702,50.6209229874184
LSTM,1,0.6950632742721669,0.6951161870511912,49.95052960232226,49.95507703999342,,
LSTM,2,0.6937094683194682,0.6943799636121524,50.72521677199941,48.81763672929699,,
LSTM,3,0.6937452578631631,0.6933781646065793,49.92346343767904,50.09375128705623,,
LSTM,4,0.6936424977152887,0.6929320975885553,50.21762554227871,50.59143739231562,,
LSTM,5,0.6933021212581301,0.6938257313380807,50.29854471013494,50.05203043505296,,
LSTM,6,0.6933858037865075,0.6934815357297154,50.56279931407776,50.08462430056879,,
LSTM,7,0.6933186846057864,0.69314646569349,50.94115792834846,51.36883435613018,,
LSTM,8,0.6934053752109082,0.6933836083290941,49.96664114024517,50.554999178749014,,
LSTM,9,0.6934215191506992,0.693157336469424,50.227490339400994,50.9819969787436,,
LSTM,10,0.6935090263829614,0.6938962072639142,50.16560363073419,50.26350256245015,,
LSTM,Test,,,,,0.6931755332385793,50.339615093472666
BiLSTM,1,0.6961278430301777,0.6950835782592579,49.54866789770823,49.7180807640997,,
BiLSTM,2,0.6940165129456207,0.6929515787100388,50.640839381809656,50.78811049461365,,
BiLSTM,3,0.6939941781715755,0.694491310644958,50.18963813781738,49.62090940798743,,
BiLSTM,4,0.6939967648826376,0.6935640765448748,49.830728627904485,49.70027140136493,,
BiLSTM,5,0.6937464168907082,0.6949071949821407,50.17640138194509,50.74484381130186,,
BiLSTM,6,0.6936614017416961,0.6939069295333604,50.40225326797388,50.479987137398474,,
BiLSTM,7,0.6937595903873444,0.6933365196494733,49.897657519709455,50.827038894265385,,
BiLSTM,8,0.6936299176546779,0.6938638480032905,50.386461452411034,50.73183764845638,,
BiLSTM,9,0.6938855017188692,0.6940717702194795,50.29006542733116,50.38666879221544,,
BiLSTM,10,0.6940560982610188,0.6940382385658006,49.43156493623761,50.02256609120611,,
BiLSTM,Test,,,,,0.6935565104265042,50.168912047925204
