Model,Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,Test Loss,Test Accuracy
OneLayerFFNN,1,0.6933425982503125,0.6934811376919181,50.98344409552804,50.412811919794244,,
OneLayerFFNN,2,0.6934116223867792,0.6933256089687347,50.34731159897616,49.58942552744332,,
OneLayerFFNN,3,0.693070787147884,0.6933188347493188,50.73066200435596,50.002638414754706,,
OneLayerFFNN,4,0.6930320265084288,0.6935311909449302,51.132781934129056,48.82419210369304,,
OneLayerFFNN,5,0.6931416825221403,0.6931632428856219,50.51495607969535,50.509329443260775,,
OneLayerFFNN,6,0.6930767125891943,0.6931193299212698,50.468589528633736,50.230472875853714,,
OneLayerFFNN,7,0.6930923229151399,0.6933214265411183,50.610644277865,50.30393327696848,,
OneLayerFFNN,8,0.6931069847876138,0.693042526305732,50.371680773087654,49.467389613895094,,
OneLayerFFNN,9,0.6929869258055722,0.6929548054428424,50.896284810818024,50.47770324399916,,
OneLayerFFNN,10,0.6930088246390768,0.693046584977942,50.94356843589867,50.677441893997845,,
OneLayerFFNN,Test,,,,,0.6928568104343951,50.54107356406844
TwoLayerFFNN,1,0.6934305238027643,0.6928673618930882,50.419869747040046,51.493299462027466,,
TwoLayerFFNN,2,0.6933090112505168,0.693077624854395,50.513895508581705,50.2594577811532,,
TwoLayerFFNN,3,0.6932497398696676,0.6931318226507155,50.30681312519268,49.88900890289727,,
TwoLayerFFNN,4,0.6932098541381585,0.6934376358985901,50.22724733082917,49.66559410095215,,
TwoLayerFFNN,5,0.6932502623892178,0.6930919542150983,49.93382361683532,49.670362447277974,,
TwoLayerFFNN,6,0.6932111654403436,0.6932478254124269,50.03900624757266,49.29885876885915,,
TwoLayerFFNN,7,0.6928855637564276,0.6933941053131879,51.29695144230432,50.09056079690739,,
TwoLayerFFNN,8,0.6932424528755411,0.6931460090612961,50.56688594122003,49.961431930630894,,
TwoLayerFFNN,9,0.6931610979738027,0.6930782774747428,50.28945666595097,50.466675879591605,,
TwoLayerFFNN,10,0.6928887780565415,0.6932533595521572,51.14071103778198,50.31161315865435,,
TwoLayerFFNN,Test,,,,,0.6929689135088031,50.324051970106254
ThreeLayerFFNN,1,0.693417986814123,0.6932421680224143,49.83946950766292,50.01138186050673,,
ThreeLayerFFNN,2,0.6932151513378115,0.6934823646383771,50.45330973654768,49.79352870229947,,
