Optimizer,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Test Loss,Test Accuracy
SGD,"[0.695257755526661, 0.6927247510774293, 0.6914518906252227, 0.690439792227571, 0.6895843659439226, 0.688790109470813, 0.6880725234964468, 0.6874776380340548, 0.6867993819887621, 0.6862220574904533, 0.6855854096203825, 0.6850790923094228, 0.6845377178957862, 0.683987052988832, 0.6834469494158334, 0.683044462961002, 0.6825090455312799, 0.6820418110294063, 0.6815412377354002, 0.6811004931474254]","[0.6943782264903441, 0.6936030195931256, 0.6928806754492097, 0.6924516639467013, 0.6918260894589505, 0.6914102233062356, 0.6909686923027039, 0.6905021606865576, 0.6902862681170642, 0.6892922318587869, 0.6890717280113091, 0.68870078103017, 0.6883075439323814, 0.6879786828816947, 0.6873269530676179, 0.6869777728945522, 0.686618237172143, 0.6861673684443458, 0.6859165157301951, 0.6854103399535357]","[0.5020529197080292, 0.5173602060679972, 0.5213275547445255, 0.527657390510949, 0.5283009647017848, 0.5320076252857264, 0.5357550182481752, 0.5382152633727902, 0.541074687329522, 0.5425980839416058, 0.5474126695716468, 0.5502965328467153, 0.5514370437956204, 0.5532211289353615, 0.5563982664233577, 0.5560398201872833, 0.5583860141082402, 0.559819799270073, 0.5614816868392221, 0.5629317649524578]","[0.5064442092079228, 0.5101959745762712, 0.5117849576271186, 0.5140360169491526, 0.5158898305084746, 0.5189353813559322, 0.5226871472294048, 0.5279837573988962, 0.5267920201107607, 0.5291313559322034, 0.5335010593220338, 0.5332362288135594, 0.5343396896022862, 0.5359286726531336, 0.5387976694915254, 0.5405190677966102, 0.5429025423728814, 0.5455949862124556, 0.5463894777378794, 0.5477577685299566]",0.6829541557280304,0.5601102941481354
Adam,[],[],[],[],,
Adagrad,[],[],[],[],,
