Epochs,Final Train Loss,Final Validation Loss,Final Train Accuracy (%),Final Validation Accuracy (%),Test Loss,Test Accuracy (%)
5,0.5445974971691188,0.6561562939215515,71.99719761409898,61.49805794327946,0.6046235280878404,68.45108695957057
10,0.45726604172348106,0.5764580692275095,80.21457900096031,69.61069915254238,0.5825599951817252,68.93142583729971
20,0.31349646041754387,0.6223519292928404,88.1427593909911,74.61599576271186,0.59286243417074,70.70812020460357
50,0.1579048042287574,0.9019668998859697,94.1858381250479,71.22175142926685,0.6117901376751073,70.40521100049129
