Epochs,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Test Loss,Test Accuracy
5,"[0.6835510263042729, 0.6448473993444095, 0.6037113998275604, 0.5749334936594441, 0.5445974971691188]","[0.6854295407311392, 0.6721619781801256, 0.5958823847063517, 0.6596016843440169, 0.6561562939215515]","[0.5595672576531877, 0.6309062175072022, 0.6713373306458884, 0.6952799140971943, 0.7199719761409898]","[0.539768715026015, 0.5710628532757194, 0.69284074892432, 0.5989141949152542, 0.6149805794327946]",0.6046235280878404,0.6845108695957057
10,"[0.6776555650425653, 0.6686879172377342, 0.6964243126176569, 0.6890551128091603, 0.681001900538911, 0.6404322453223876, 0.6119366210960123, 0.5368960058167033, 0.5449447154346174, 0.45726604172348106]","[0.668897280248545, 0.6935428992166357, 0.6948393052917415, 0.7107597862259817, 0.6820971758688911, 0.621326259132159, 0.6393956789525889, 0.5797317500336695, 0.5897737193410679, 0.5764580692275095]","[0.5693919447651745, 0.5784590068089701, 0.5116332116788321, 0.5421989051094891, 0.5606507430546475, 0.6315416450048015, 0.6665227452333826, 0.7438412410934476, 0.7285176617820768, 0.8021457900096031]","[0.578433969263303, 0.5102401130785377, 0.5146098164683681, 0.5130208334175207, 0.5636917372881356, 0.6602224576271186, 0.635372528585337, 0.709789901466693, 0.7023305084745762, 0.6961069915254238]",0.5825599951817252,0.6893142583729971
20,"[0.6836040117879854, 0.6652225558340115, 0.677985635552093, 0.6875506417594687, 0.690731475823117, 0.6900567471110908, 0.6823776681927869, 0.6755126423209253, 0.6589283525508686, 0.6472436146144449, 0.6466262614640006, 0.5786031442184518, 0.5254591819796249, 0.4791691725271462, 0.43584375605530984, 0.405205570052575, 0.37606967289517396, 0.34214289790957514, 0.3773835848500259, 0.31349646041754387]","[0.6828964640528469, 0.6711607388520645, 0.6909894907878618, 0.6998863821312532, 0.6951092961481062, 0.6868201307320999, 0.6882190027479398, 0.6822092927108376, 0.6671402984756535, 0.6985415457668951, 0.6553697833570383, 0.6611292043984947, 0.5915928157204289, 0.5815647981934629, 0.5986239066568472, 0.6071180016812632, 0.5801739866955805, 0.6187960449921883, 0.6025783520633892, 0.6223519292928404]","[0.5524553571739336, 0.5870698644732036, 0.5529197080291971, 0.5377672055776972, 0.5261095542542256, 0.5277958812504789, 0.5495633474231636, 0.567998892199384, 0.6013669839305599, 0.616030696099692, 0.624103884409814, 0.7080129041288891, 0.7530386471835366, 0.7823986576421418, 0.8144144291860343, 0.8306504172565293, 0.8474892467042826, 0.8685316737115818, 0.8502997916980382, 0.881427593909911]","[0.5522598871740244, 0.5697828389830508, 0.5264830508474576, 0.5202153956486006, 0.5208333336700828, 0.5312941387548284, 0.5292196329367362, 0.5536723167209302, 0.5823622881355932, 0.527542372881356, 0.6051818506192352, 0.6225723871740244, 0.6967690677966102, 0.7058615820892786, 0.7039194915254238, 0.7357874295469058, 0.7120850990384312, 0.7510593220338984, 0.729431497343516, 0.7461599576271186]",0.59286243417074,0.7070812020460358
50,"[0.6867338697405627, 0.6774875839261243, 0.6481028495043734, 0.6066730623915247, 0.5783151940707743, 0.5759930111413455, 0.5187546185550899, 0.4574159146660436, 0.4907253587985561, 0.44083459245680023, 0.3808128566746294, 0.36682094840237695, 0.30016374223641235, 0.3130226773719718, 0.42755914087930735, 0.3530232526742629, 0.3589763003979286, 0.28614530744996386, 0.22889123574225573, 0.20986619896262232, 0.2118054226068032, 0.17607294376531657, 0.14975181478245633, 0.17376016994027327, 0.1785752194437341, 0.2619800415624232, 0.22717982052016433, 0.18343961701123385, 0.2275026912739786, 0.3269428610801697, 0.23796544517696339, 0.46220485455472105, 0.46096304069905386, 0.3695969890503988, 0.34564998256464075, 0.3056906875032578, 0.2860564991668628, 0.26927902073646987, 0.3305610851486669, 0.33781315147006596, 0.23413467420822512, 0.2580724706479015, 0.21253687268408544, 0.19532712230825947, 0.4082036332438027, 0.2444046744736877, 0.1880161154226665, 0.1574237884640911, 0.16603005120027675, 0.1579048042287574]","[0.6886845549284402, 0.6992957864777517, 0.6530313658512245, 0.6418534287456739, 0.6763905372660038, 0.6685688288535102, 0.6531444772825403, 0.6010435556961318, 0.6912888977992333, 0.6546119171178947, 0.7744966442302123, 0.7765888824301251, 0.7556829854088315, 0.7461465814356076, 0.7913791279671556, 0.8258997651480012, 0.7707305911738994, 0.7855550333604975, 0.881568851612382, 0.973696758686486, 0.9466812757112212, 0.9495163787219484, 1.0853825125653864, 1.022134192414203, 1.017932405916311, 1.0871222670805656, 1.0182071898953389, 1.0426829906843476, 0.7185234361785954, 0.9160919265221741, 1.04014438289707, 0.6332314971645, 0.6392460955401599, 0.6470724079063384, 0.6647560914694253, 0.6610837788400004, 0.6673890018867235, 0.6772528975191763, 0.6630589881185758, 0.7299672317201809, 0.7250576342566538, 0.7205790117130442, 0.8073659243725114, 0.8031210970070403, 0.8410198941069135, 0.9736070420782444, 0.8492464781817743, 0.9138610405942141, 0.9478759629241491, 0.9019668998859697]","[0.5504105839416058, 0.5665732535132526, 0.6139533369645586, 0.6635900026690351, 0.6910437306348425, 0.6928848411044936, 0.740802593909911, 0.7845330423247205, 0.7587330554523607, 0.7951153547224337, 0.8341860011981351, 0.8377949036385891, 0.8764500783307709, 0.8636356231069913, 0.8002883865885491, 0.842853884409814, 0.8395545491336907, 0.879113986109295, 0.9095004562043796, 0.9184371742018818, 0.9172640773501709, 0.932506191469457, 0.9448644423136746, 0.9342332508442176, 0.9295653026469433, 0.8917573646907389, 0.9067958160473483, 0.9279604406252394, 0.8968326381958314, 0.8559208812504789, 0.9015250262552804, 0.7564846194573562, 0.7846633865885491, 0.8462917102079321, 0.8598556440242016, 0.8780875262552804, 0.8905516815011518, 0.8997735272358803, 0.8554076513234716, 0.8479047187053375, 0.9147549532625797, 0.9022011861313869, 0.9218424140971943, 0.9299807744304629, 0.7975674532625797, 0.9038223411044936, 0.928530696099692, 0.9444815564329607, 0.9395936523040715, 0.9418583812504789]","[0.5547757770045328, 0.522289901466693, 0.613788842144659, 0.628486935364998, 0.586952683784194, 0.6039459745762712, 0.6506885593220338, 0.7022422319751674, 0.6226165254237288, 0.688515183784194, 0.6015183617502956, 0.6747881355932204, 0.6874558617502956, 0.6515271896022862, 0.62376412446216, 0.6007238702248718, 0.6658280370599132, 0.6851165254237288, 0.6748764125977532, 0.6650335455344896, 0.653072033898305, 0.702198093220339, 0.6621204099412692, 0.6847634184158454, 0.5783456922587702, 0.6545286016949152, 0.6280896896022862, 0.6671521893497241, 0.5803319210723296, 0.6509533898305084, 0.6106991525423728, 0.6514389125977532, 0.688515183784194, 0.710010593220339, 0.7206479523141506, 0.7216631355932204, 0.7155278956486006, 0.7251942092079228, 0.5927348167209302, 0.7220603813559322, 0.720603813559322, 0.7257238702248718, 0.7094809322033898, 0.7255031779661016, 0.718529308246354, 0.6864848167209302, 0.7198975990384312, 0.7086864406779662, 0.6069473871740244, 0.7122175142926684]",0.6117901376751073,0.7040521100049129
