Optimizer,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Test Loss,Test Accuracy
SGD,"[0.695257755526661, 0.6927247510774293, 0.6914518906252227, 0.690439792227571, 0.6895843659439226, 0.688790109470813, 0.6880725234964468, 0.6874776380340548, 0.6867993819887621, 0.6862220574904533, 0.6855854096203825, 0.6850790923094228, 0.6845377178957862, 0.683987052988832, 0.6834469494158334, 0.683044462961002, 0.6825090455312799, 0.6820418110294063, 0.6815412377354002, 0.6811004931474254]","[0.6943782264903441, 0.6936030195931256, 0.6928806754492097, 0.6924516639467013, 0.6918260894589505, 0.6914102233062356, 0.6909686923027039, 0.6905021606865576, 0.6902862681170642, 0.6892922318587869, 0.6890717280113091, 0.68870078103017, 0.6883075439323814, 0.6879786828816947, 0.6873269530676179, 0.6869777728945522, 0.686618237172143, 0.6861673684443458, 0.6859165157301951, 0.6854103399535357]","[0.5020529197080292, 0.5173602060679972, 0.5213275547445255, 0.527657390510949, 0.5283009647017848, 0.5320076252857264, 0.5357550182481752, 0.5382152633727902, 0.541074687329522, 0.5425980839416058, 0.5474126695716468, 0.5502965328467153, 0.5514370437956204, 0.5532211289353615, 0.5563982664233577, 0.5560398201872833, 0.5583860141082402, 0.559819799270073, 0.5614816868392221, 0.5629317649524578]","[0.5064442092079228, 0.5101959745762712, 0.5117849576271186, 0.5140360169491526, 0.5158898305084746, 0.5189353813559322, 0.5226871472294048, 0.5279837573988962, 0.5267920201107607, 0.5291313559322034, 0.5335010593220338, 0.5332362288135594, 0.5343396896022862, 0.5359286726531336, 0.5387976694915254, 0.5405190677966102, 0.5429025423728814, 0.5455949862124556, 0.5463894777378794, 0.5477577685299566]",0.6829541557280304,0.5601102941481354
Adam,"[0.679159324534618, 0.672145359381272, 0.6674480908108453, 0.6324692779648913, 0.623363883934752, 0.6479814646452883, 0.6326783538734826, 0.586014866393848, 0.5317506858684721, 0.4848290060775994, 0.45115532176773043, 0.4177025266154839, 0.37823287734802624, 0.3595014612605102, 0.43952635469010276, 0.41331705652231715, 0.33858931244072255, 0.32175495230803525, 0.3452620308873427, 0.30953726811456855]","[0.7009710447262909, 0.6870727695650973, 0.657724478487241, 0.6538326523061526, 0.6518627304141804, 0.6697597958273807, 0.6683812661696289, 0.6685914407342167, 0.6300489756010347, 0.5896418602284739, 0.5897976046396514, 0.5964116421291383, 0.6067768961696302, 0.6136700528658042, 0.6323497820708711, 0.6039878544160875, 0.6393882435257152, 0.6532380436941728, 0.6547017428329436, 0.6292568455308171]","[0.5709316345461963, 0.574287995369765, 0.5857175445034556, 0.6366495048477702, 0.643215589279676, 0.6089106491447365, 0.6359326121580862, 0.6853330294146155, 0.735776199259027, 0.778846780749133, 0.7993841243051264, 0.8227157196859374, 0.8430982795509979, 0.854291580019206, 0.8044675445034556, 0.8274651330752965, 0.871391097559546, 0.8794154067979242, 0.8620063218757184, 0.8828206466932367]","[0.5863788845175404, 0.5331479523141506, 0.5961776133310996, 0.6048287431062278, 0.6041666668350414, 0.5841719634452108, 0.5926465397163972, 0.6185116525423728, 0.6385946329367362, 0.7136740820892786, 0.7152189268904218, 0.6955773305084746, 0.7397598871740244, 0.7420550847457628, 0.6276483050847458, 0.7132326980768624, 0.7329184322033898, 0.7365377828226252, 0.7531338278519906, 0.7402895481909736]",0.5930154604070327,0.710877557544757
Adagrad,[],[],[],[],,
