Model,Test Loss,Test Accuracy (%),Final Train Loss,Final Validation Loss,Final Train Accuracy (%),Final Validation Accuracy (%)
OneLayerFFNN,0.6930241781427428,50.460599823985866,0.69313759068503,0.6930801262289791,50.2625998136771,50.695050798230255
TwoLayerFFNN,0.6929576215536698,50.26699935688692,0.6930135958386163,0.6932912928573156,51.11514214616623,50.07585479041278
ThreeLayerFFNN,0.6929548201353654,50.54688426234838,0.693263000597919,0.6929963044190811,50.28630571208731,50.414904068082066
CNN,0.6935093965371857,50.85616550024818,0.6975066898948085,0.7015848634606701,50.783893596516904,50.80429845947331
LSTM,0.6935136804495321,49.58207229214251,0.6933693635637743,0.6928956316689313,50.78106499718924,50.94105202262684
BiLSTM,0.6933510640393132,50.54507785288575,0.6933246402844896,0.6937328435606875,50.72052278657899,50.8776600835687
